transaction_id,message_id,date,sender_name,account,account_holder,bank_code,direction,amount,currency,category_label,action,objects,roles,locations,time_period,counterparty,order_ref,content
txn_00001,8037641077302,2026-07-01,Hoàng Anh,Hương.acb,Hương,acb,chi,9320000,VND,Quỹ nội bộ,chuyen,quy,,,,,,chuyển quỹ tiền mặt về tài khoản công ty
txn_00002,8037641081911,2026-07-02,Ngọc Mai,Mai.stb,Mai,stb,chi,3960000,VND,Lương/Ứng lương,ung,luong,nhan_vien,,,Dũng,,ứng lương nhân viên kinh doanh a Dũng vận tải
txn_00003,8037641090684,2026-07-02,Thu Hương,Tuấn.bidv,Tuấn,bidv,chi,460000,VND,Ship/Vận chuyển,,ship;don_hang,,,,,4547,cước vận chuyển liên tỉnh đơn hàng #4547
txn_00004,8037641096617,2026-07-02,Xuân Svl,Xuân.svl,Xuân,svl,chi,3060000,VND,Lương/Ứng lương,ung,luong,nhan_vien,,tháng 7,,,ứng lương tháng 7 cho nhân viên kho
txn_00005,8037641098797,2026-07-02,Đức Thịnh,Đức.tcb,Đức,tcb,chi,1120000,VND,Thưởng/Phạt,ung,thuong,,,,,,ứng trước tiền thưởng tháng cho ca kho
txn_00006,8037641102760,2026-07-02,Diệu Linh,Tuấn.bidv,Tuấn,bidv,thu,810000,VND,Khách hàng thanh toán,thanh_toan,sua_chua,,,,Tùng,,a Tùng thanh toán tiền bảo hành đệm
txn_00007,8037641108006,2026-07-02,Diệu Linh,Thịnh.vtb,Thịnh,vtb,chi,1750000,VND,Ship/Vận chuyển,chi,ship,,Hà Nội,,,,chi phí vận chuyển hàng về kho Hà Nội
txn_00008,8037641115653,2026-07-02,Văn Nam,Tuấn.bidv,Tuấn,bidv,thu,1560000,VND,Khách hàng thanh toán,dat_coc,don_hang,khach_hang,,,,,thu tiền đặt cọc khách lẻ mua đệm
txn_00009,8037641116890,2026-07-02,Minh Tuấn,Nam.vcb,Nam,vcb,chi,10320000,VND,Chi phí văn phòng,thanh_toan,thue_kho,,,tháng 7,,,thanh toán tiền thuê kho tháng 7
txn_00010,8037641118549,2026-07-02,Thị Lan,Trâm.tpb,Trâm,tpb,thu,440000,VND,Khách hàng thanh toán,thanh_toan,sua_chua,noi_bo,,,Yến,,c Yến kế toán thanh toán tiền bảo hành đệm
txn_00011,8037641124548,2026-07-02,Thu Hương,Nam.vcb,Nam,vcb,chi,1500000,VND,Nhà cung cấp,ung,hang_hoa,nha_cung_cap,,,Long,,ứng tiền mua hàng hộ anh Long xưởng gỗ
txn_00012,8037641131693,2026-07-02,Khánh Đức,Trâm.tpb,Trâm,tpb,chi,2140000,VND,Vật tư/Sửa chữa,chi,sua_chua,,,,,,chi phí sửa xe tải giao hàng
txn_00013,8037641135981,2026-07-03,Đức Thịnh,Hương.acb,Hương,acb,chi,6040000,VND,Marketing/Quảng cáo,thanh_toan,quang_cao,,,tháng 7,,,thanh toán tiền quảng cáo Facebook tháng 7
txn_00014,8037641140793,2026-07-03,Thu Hương,Linh.vib,Linh,vib,thu,150000,VND,Tạm ứng công tác,hoan_ung,cong_tac,,Hải Phòng,,,,hoàn ứng tiền dư công tác Hải Phòng
txn_00015,8037641141968,2026-07-03,Quốc Bảo,Hương.acb,Hương,acb,chi,3860000,VND,Nhà cung cấp,ung,hang_hoa,noi_bo,,,Yến,,ứng tiền mua hàng hộ c Yến kế toán
txn_00016,8037641144696,2026-07-03,Diệu Linh,Bảo.msb,Bảo,msb,chi,4190000,VND,Lương/Ứng lương,ung,luong,nhan_vien,,,Phong,,ứng lương nhân viên kinh doanh anh Phong
txn_00017,8037641149128,2026-07-03,Thị Lan,Nam.vcb,Nam,vcb,thu,14260000,VND,Khách hàng thanh toán,thu,,khach_hang,Ninh Hiệp,,,,thu tiền khách sỉ chợ Ninh Hiệp còn nợ kỳ trước
txn_00018,8037641151371,2026-07-03,Văn Nam,Xuân.svl,Xuân,svl,chi,1670000,VND,Vật tư/Sửa chữa,chi,sua_chua,,,,,,chi phí sửa xe tải giao hàng
txn_00019,8037641157442,2026-07-03,Bảo Trâm,Xuân.svl,Xuân,svl,chi,760000,VND,Tạm ứng công tác,,cong_tac;hoa_hong,,,tháng 7,,,chi hoa hồng cộng tác viên tháng 7
txn_00020,8037641164803,2026-07-03,Thu Hương,Thịnh.vtb,Thịnh,vtb,chi,1030000,VND,Ship/Vận chuyển,,ship;don_hang,,,,,4004,cước vận chuyển liên tỉnh đơn hàng #4004
txn_00021,8037641170404,2026-07-03,Bảo Trâm,Xuân.svl,Xuân,svl,thu,1970000,VND,Khách hàng thanh toán,thu,,khach_hang,,,,4562,thu tiền khách trả góp đợt cuối #4562
txn_00022,8037641173674,2026-07-03,Thu Hương,Trâm.tpb,Trâm,tpb,chi,1860000,VND,Vật tư/Sửa chữa,mua,vat_tu;sua_chua,,,,,,mua vật tư sửa chữa máy nén khí
txn_00023,8037641181987,2026-07-03,Bảo Trâm,Thịnh.vtb,Thịnh,vtb,chi,3090000,VND,Nhà cung cấp,ung,hang_hoa,,,,Hùng,,ứng tiền mua hàng hộ anh Hùng
txn_00024,8037641188485,2026-07-03,Minh Tuấn,Trâm.tpb,Trâm,tpb,chi,1030000,VND,Tạm ứng công tác,ung,cong_tac,,Hưng Yên,,,,tạm ứng công tác phí đi Hưng Yên
txn_00025,8037641194893,2026-07-04,Ngọc Mai,Đức.tcb,Đức,tcb,thu,8350000,VND,Khách hàng thanh toán,dat_coc,don_hang,khach_hang,Ninh Hiệp,,,4440,khách sỉ chợ Ninh Hiệp đặt cọc đơn hàng nội thất #4440
txn_00026,8037641197226,2026-07-04,Văn Nam,Lan.mb,Lan,mb,chi,1090000,VND,Tạm ứng công tác,ung,cong_tac,,Hưng Yên,,,,tạm ứng công tác phí đi Hưng Yên
txn_00027,8037641200835,2026-07-04,Minh Tuấn,Hương.acb,Hương,acb,chi,4630000,VND,Marketing/Quảng cáo,thanh_toan,quang_cao,,,tháng 7,,,thanh toán tiền quảng cáo Facebook tháng 7
txn_00028,8037641204550,2026-07-04,Diệu Linh,Tuấn.bidv,Tuấn,bidv,chi,1260000,VND,Ship/Vận chuyển,chi,ship,,Hà Nội,,,,chi phí vận chuyển hàng về kho Hà Nội
txn_00029,8037641207777,2026-07-04,Xuân Svl,Lan.mb,Lan,mb,chi,3650000,VND,Quỹ nội bộ,chuyen,quy,,,,,,chuyển quỹ tiền mặt về tài khoản công ty
txn_00030,8037641212994,2026-07-04,Văn Nam,Lan.mb,Lan,mb,chi,1040000,VND,Tạm ứng công tác,ung,cong_tac,,Hưng Yên,,,,tạm ứng công tác phí đi Hưng Yên
txn_00031,8037641221328,2026-07-04,Đức Thịnh,Linh.vib,Linh,vib,chi,520000,VND,Vật tư/Sửa chữa,mua,vat_tu;sua_chua,,,,,,mua vật tư sửa chữa máy nén khí
txn_00032,8037641229395,2026-07-05,Thị Lan,Xuân.svl,Xuân,svl,chi,6330000,VND,Lương/Ứng lương,chi,luong,nhan_vien,,tháng 7,,,chi lương nhân viên giao hàng tháng 7
txn_00033,8037641234711,2026-07-05,Đức Thịnh,Xuân.svl,Xuân,svl,chi,1610000,VND,Khách hàng thanh toán,chi,sua_chua,khach_hang,,,,,chi phí sửa chữa máy móc bảo hành cho khách
